sample_id,stage,latency_s,peak_vram_gb,energy_J,is_warmup
42,reranker,0.001568,16.188573,0.046,0
42,nli,1.563543,5.092929,300.715,0
43,image_search,3.647463,15.348945,426.285,0
43,reranker,0.000445,16.188573,0.031,0
43,nli,1.269120,5.092929,211.598,0
44,image_search,3.223338,15.348945,385.270,0
44,reranker,0.000581,16.188573,0.033,0
44,nli,3.144200,9.972648,750.514,0
45,image_search,2.293179,15.348945,277.555,0
45,reranker,0.000453,16.188573,0.029,0
45,nli,1.547992,4.799626,273.139,0
46,image_search,2.286367,15.348945,276.660,0
46,reranker,0.000442,16.188573,0.025,0
46,nli,0.883781,3.317394,110.478,0
47,image_search,2.315469,15.348945,305.329,0
47,reranker,0.000515,16.188573,0.033,0
47,nli,0.789611,2.812932,95.049,0
48,image_search,2.413809,15.348945,324.776,0
48,reranker,0.000500,16.188573,0.029,0
48,nli,0.963952,3.241055,126.282,0
49,image_search,4.525036,15.348945,586.759,0
49,reranker,0.000453,16.188573,0.024,0
49,nli,1.459831,4.799626,244.195,0
50,image_search,6.490145,15.348945,807.265,0
50,reranker,0.000724,16.188573,0.041,0
50,nli,2.672504,9.972648,634.313,0
51,image_search,2.898412,15.348945,348.449,0
51,reranker,0.000552,16.188573,0.056,0
51,nli,3.058630,9.972648,747.752,0
52,image_search,3.751213,15.348945,486.286,0
52,reranker,0.000574,16.188573,0.028,0
52,nli,1.739969,5.733663,323.586,0
53,image_search,3.205446,15.348945,381.847,0
53,reranker,0.000917,16.188573,0.076,0
53,nli,3.121663,9.972648,747.194,0
54,image_search,5.748532,15.348945,669.251,0
54,reranker,0.000820,16.188573,0.056,0
54,nli,2.832251,9.387232,676.471,0
55,image_search,2.495813,15.348945,325.019,0
55,reranker,0.000675,16.188573,0.061,0
55,nli,2.356486,9.972648,529.502,0
56,image_search,2.387876,15.348945,313.900,0
56,reranker,0.000498,16.188573,0.066,0
56,nli,3.053587,9.972648,752.768,0
57,image_search,4.300213,15.348945,559.155,0
57,reranker,0.000633,16.188573,0.117,0
57,nli,1.960131,6.470133,384.767,0
58,image_search,6.787166,15.348945,837.647,0
